"TN_ugL_epi","TN_ugL_hypo","TP_ugL_epi","TP_ugL_hypo","Temp_C_epi","Temp_C_hypo","DO_mgL_epi","waterlevel","therm_depth","oxy_depth","SS","Green_ugL","Bluegreen_ugL","Brown_ugL","Mixed_ugL","Total_ugL","secchi","AirTemp","Shortwave","Longwave","RelHum","WindSpeed","Rain","DateTime"
347.75,269.5,16.6125,18.3,12.6500857142857,11.5006572288639,8.6696954887218,10.73,1.1076604180639,5.58213217124375,0.0935463811532306,5.05263157894737,2.44052631578947,7.93894736842105,1.26184210526316,16.6939473684211,NA,6.20834248820833,122.55129376875,264.295420975,59.47129935,3.52254772870833,0.000134,2019-11-15
640,218.6,18.7,17.16,12.2388888888889,8.76666666666667,4.88888888888889,11.59,8.94898168911752,8.00691644689256,10.6270174906483,2.2761048020806,0.122663559348019,2.74710157200808,0.25092778822363,5.39672617327778,3.75,15.6020853678385,185.629466931025,358.564994812012,79.7478398888844,3.30014589305552,0.00208359991502948,2020-05-14
999,342,31.1,17.7,14.7833333333333,10.2,5.43333333333333,12.29,8.9476313741638,5.42201946334877,89.2163801342661,0.914137931034483,0.511379310344828,1.29551724137931,0.359310344827586,3.08,3.8,24.023334757487,304.455679098765,377.657492319743,73.0331188476032,3.87459810632522,0.00424039998929947,2020-06-04
814,192.333333333333,39.15,13.3333333333333,18.8096911027569,10.9998694386694,5.13968446115288,12.2264131959034,7.39595586995699,2.81139747728222,83.7523986069245,6.55924242424242,0.359166666666667,0.660984848484849,0.360681818181818,7.93992424242424,2.7,22.4137512207031,274.080552101135,370.68707148234,66.4841791300843,2.27246614343957,0,2020-06-25
765.5,216.333333333333,39.55,15.6,20.2964171487603,11.3642446782178,5.55969008264463,12.0992674242561,6.20490923452619,3.13448288105663,105.069628703702,6.55924242424242,0.359166666666667,0.660984848484849,0.360681818181818,7.93992424242424,2.4,24.7149978637696,326.025181452433,378.146242777506,68.2993236992627,2.29997302036136,0,2020-07-02
1442.66666666667,221.5,32.8333333333333,12.55,24.6851260115607,12.5017750263435,4.03908699421965,11.1935728412653,3.64595718383466,2.1811653162369,95.7939349131469,5.95908163265306,2.98408163265306,1.50887755102041,0.0701020408163265,10.5228571428571,2.2,25.2770909627279,227.210676670074,415.701239267985,78.3347549955346,2.14177917532021,0.00442399989947444,2020-08-06
1161.33333333333,255.5,26,15,26.6,12.82,7.794,11.1111338241148,3.9051365004561,3.21757650101264,97.5172476414788,7.6701030927835,2.04113402061856,3.78340206185567,0.31701030927835,13.8113402061856,2.4,25.8512512207031,218.33796775341,408.00332514445,75.0764810469135,2.05340851742396,0.00781279988586902,2020-08-12
1161.66666666667,259.363636363636,25.9015151515152,15.3113636363636,27.4804074204947,15.4804808917197,5.73323406360424,11.0957325586898,3.29631878973193,2.58516436969326,109.167214106946,7.6701030927835,2.04113402061856,3.78340206185567,0.31701030927835,13.8113402061856,2.37045454545455,25.2020851135254,207.317673206329,416.533737182617,78.5889407151329,1.94555980422067,0.0140615997463465,2020-08-13
1168.66666666667,340.5,23.8333333333333,21.85,25.347476849642,12.6029804248862,5.02946109785203,11.0585841994705,3.70165127738753,2.52868800916358,90.8128960632733,7.20418181818182,3.408,6.72272727272727,0.347818181818182,17.6816363636364,1.75,26.1304145812988,261.965844750404,393.945821126302,71.3271054277617,4.48773115890085,0,2020-09-03
1402.66666666667,320,27.1,17.75,18.0275148849797,12.3289032804233,4.67367604871448,10.993688259647,5.32092972370721,0.25,22.0765035184115,1.67608695652174,2.69239130434783,12.6525,0,17.0205434782609,1.1,16.3387453715007,214.376216888428,326.678745269775,68.3273007017475,3.58280369194975,1.20000001043081e-05,2020-10-01
