"time","Q_m3pd"
2015-10-20,8510.69276614165
2015-10-21,5957.48493629916
2015-10-22,4170.23945540941
2015-10-23,2919.16761878659
2015-10-24,2043.41733315061
2015-10-25,1430.39213320543
2015-10-26,6366.93459734127
2015-10-27,864552.041253145
2015-10-28,848013.050477202
2015-10-29,593915.312934041
2015-10-30,415740.719053829
2015-10-31,291657.666867552
2015-11-01,217177.612369278
2015-11-02,182779.105858494
2015-11-03,127945.374100946
2015-11-04,89561.7618706622
2015-11-05,62693.2333094636
2015-11-06,43885.2633166245
2015-11-07,86339.583013155
2015-11-08,60437.7081092085
2015-11-09,601355.140208752
2015-11-10,456461.386146127
2015-11-11,319522.970302289
2015-11-12,223666.079211602
2015-11-13,156566.255448121
2015-11-14,109596.378813685
2015-11-15,76717.4651695795
2015-11-16,53702.2256187057
2015-11-17,41445.4544147749
2015-11-18,811396.819040177
2015-11-19,567977.773328124
2015-11-20,397584.441329687
2015-11-21,278309.108930781
2015-11-22,194816.376251547
2015-11-23,136371.463376083
2015-11-24,95460.0243632578
2015-11-25,66822.0170542805
2015-11-26,46775.4119379964
2015-11-27,32742.7883565974
2015-11-28,27020.3506742336
2015-11-29,145199.157871964
2015-11-30,380626.587310374
2015-12-01,613473.758836262
2015-12-02,572890.001585384
2015-12-03,401023.001109768
2015-12-04,280716.100776838
2015-12-05,196501.270543787
2015-12-06,137550.889380651
2015-12-07,114405.115011122
2015-12-08,80083.5805077855
2015-12-09,56058.5063554498
2015-12-10,39240.9544488149
2015-12-11,27468.6681141704
2015-12-12,19228.0676799193
2015-12-13,13459.6473759435
2015-12-14,22749.5636139957
2015-12-15,15924.694529797
2015-12-16,13489.4643468775
2015-12-17,345800.251862814
2015-12-18,242060.17630397
2015-12-19,169442.123412779
2015-12-20,118609.486388945
2015-12-21,130471.492865037
2015-12-22,251463.926205526
2015-12-23,379845.324343868
2015-12-24,470962.074240708
2015-12-25,395723.641968495
2015-12-26,297792.576177947
2015-12-27,208830.170524563
2015-12-28,317967.727767194
2015-12-29,242648.113837036
2015-12-30,221940.645685925
2015-12-31,155358.451980148
2016-01-01,108750.916386103
2016-01-02,76125.6414702723
2016-01-03,53287.9490291906
2016-01-04,37452.7153489137
2016-01-05,26216.9007442396
2016-01-06,18351.8305209677
2016-01-07,12846.2813646774
2016-01-08,61756.0788167011
2016-01-09,323642.990771691
2016-01-10,234792.372740184
2016-01-11,164354.660918128
2016-01-12,115048.26264269
2016-01-13,80533.7838498829
2016-01-14,56373.6486949181
2016-01-15,233350.202533089
2016-01-16,163471.262973162
2016-01-17,126832.528481214
2016-01-18,88782.7699368495
2016-01-19,62147.9389557946
2016-01-20,50452.3780361147
2016-01-21,35316.6646252803
2016-01-22,534857.245390815
2016-01-23,495016.884511515
2016-01-24,346511.81915806
2016-01-25,242558.273410642
2016-01-26,169790.79138745
2016-01-27,118853.553971215
2016-01-28,83197.4877798503
2016-01-29,58238.2414458952
2016-01-30,40766.7690121267
2016-01-31,28536.7383084887
2016-02-01,66827.4661299922
2016-02-02,79642.2795879833
2016-02-03,618178.113987731
2016-02-04,436437.691342388
2016-02-05,305506.383939672
2016-02-06,213854.46875777
2016-02-07,149698.128130439
2016-02-08,122461.585349676
2016-02-09,85723.1097447734
2016-02-10,60006.1768213414
2016-02-11,42004.323774939
2016-02-12,29403.0266424573
2016-02-13,20582.1186497201
2016-02-14,173069.543010553
2016-02-15,628519.33713107
2016-02-16,685442.618914625
2016-02-17,479809.833240237
2016-02-18,335866.883268166
2016-02-19,235106.818287716
2016-02-20,171606.71712989
2016-02-21,244084.772800735
2016-02-22,313592.739607913
